brand,description,color_material,price
Samsung, 17.3 Cu. Ft. Kimchi & Specialty 4-Door French Door Refrigerator with WiFi and Super Precise Cooling, White-Navy Glass,2499.99
Samsung, 17.5 Cu. Ft. French Door Counter-Depth Refrigerator, Stainless steel,1249.99
Café, 27.8 Cu. Ft. French Door Refrigerator with Keurig Brewing System, Stainless steel,3264.99
GE, Profile Series 27.8 Cu. Ft. French Door Refrigerator, Black stainless steel,3084.99
Samsung, 27.8 Cu. Ft. 4-Door Flex French Door Fingerprint Resistant Refrigerator with Food ShowCase, Black stainless steel,3399.99
LG, 27.8 4-Door French Door Smart Wi-Fi Enabled Refrigerator, Black stainless steel,2699.99
Dacor, 23.5 Cu Ft 4-Door Flex French Door Built In Panel Ready Refrigerator with FreshZone Drawer and Precise Cooling, Panel Ready,8999.0
Samsung, 28 cu. ft. 3-Door French Door Refrigerator with AutoFill Water Pitcher, White,2519.99
Café, 23.1 Cu. Ft. French Door Counter-Depth Refrigerator, Matte White,3084.99
Samsung, 22.6 cu. ft. 4-Door French Door Counter Depth Refrigerator with FlexZone™ Drawer, Fingerprint Resistant Black Stainless Steel,2879.99
Samsung, 27.8 Cu. Ft. French Door Fingerprint Resistant Refrigerator with Food Showcase, Black stainless steel,2789.99
LG, 29.7 Cu. Ft. French Door-in-Door Refrigerator with Craft Ice, PrintProof Black Stainless Steel,3099.99
GE, 25.6 Cu. Ft. French Door Refrigerator, Black Slate,2339.99
GE, 25 Cu. Ft. French Door Refrigerator, Black stainless steel,2339.99
Frigidaire, 26.8 Cu. Ft. French Door Refrigerator, Stainless steel,2114.99
Samsung, Family Hub 28 Cu. Ft. 4-Door Flex French Door Fingerprint Resistant Refrigerator, Black stainless steel,3999.99
GE, 23.1 Cu. Ft. French Door Counter-Depth Refrigerator, Stainless steel,2454.99
Fisher & Paykel, 20.1 Cu. Ft. French Door Refrigerator, Ezkleen Stainless Steel,3199.0
Café, 18.6 Cu. Ft. French Door Counter-Depth Refrigerator, Stainless steel,2069.99
Thermador, Freedom Collection 19.4 cu. ft. French Door Built-in Refrigerator with Professional Series Handles,,9599.0
GE, 25.6 Cu. Ft. French Door Refrigerator, Slate,2249.99
